粑 粑
伴 侶
搬 來
斑 斕
伴 郎
搬 了
板 栗
班 裡
辦 理
半 路
半 裸
辦 個
半 個
辦 公
版 規
版 塊
板 塊
辦 卡
板 卡
半 空
版 畫
辦 好
瘢 痕
扳 回
搬 回
班 會
扳 機
班 機
班 級
板 甲
半 價
搬 家
半 形
頒 獎
辦 結
半 截
半 斤
搬 進
半 徑
半 句
版 權
辦 起
搬 遷
板 橋
半 球
搬 去
辦 學
半 仙
扮 相
板 磚
班 長
伴 著
辦 證
斑 竹
版 主
班 禪
半 場
搬 場
板 車
班 車
半 程
辦 成
搬 出
半 山
搬 上
半 晌
板 上
班 上
半 身
半 生
版 式
辦 事
扳 手
半 數
半 日
般 若
板 載
班 子
板 子
搬 走
伴 奏
班 組
板 材
班 次
半 死
伴 隨
半 月
拌 勻
搬 運
扮 演
半 夜
伴 有
辦 完
伴 我
版 務
辦 案
棒 棒
幫 幫
幫 派
幫 忙
綁 匪
幫 扶
榜 單
幫 到
邦 德
幫 頂
繫 結
幫 她
幫 他
幫 你
幫 您
幫 了
幫 會
綁 架
棒 球
幫 凶
幫 著
幫 主
幫 助
榜 上
幫 手
榜 首
幫 人
綁 在
膀 子
棒 子
榜 樣
傍 晚
幫 我
包 辦
飽 飽
包 包
抱 抱
寶 寶
保 本
報 備
寶 貝
包 庇
保 鏢
報 表
報 批
包 皮
爆 破
寶 馬
爆 滿
飽 滿
保 密
暴 民
保 命
報 名
保 姆
暴 發
爆 發
包 房
暴 風
保 費
報 廢
暴 富
抱 負
包 袱
報 復
暴 打
報 答
保 單
寶 島
報 導
報 到
報 道
保 底
寶 地
寶 典
暴 跌
保 定
暴 動
寶 塔
煲 湯
包 頭
暴 徒
保 暖
暴 怒
暴 亂
寶 來
包 攬
爆 冷
堡 壘
保 利
包 裡
暴 利
暴 力
報 料
爆 料
爆 裂
保 留
暴 露
保 羅
報 關
保 管
暴 光
曝 光
包 乾
包 鋼
寶 鋼
報 告
包 公
報 國
包 裹
寶 貴
報 刊
報 考
寶 庫
包 括
包 換
保 函
包 涵
飽 含
包 含
包 好
飽 和
保 護
暴 君
爆 擊
保 級
包 機
寶 雞
暴 擊
報 價
報 檢
保 薦
包 間
寶 劍
保 健
寶 潔
保 潔
抱 緊
報 警
保 全
抱 起
抱 歉
報 請
暴 雪
報 訊
保 鮮
保 險
爆 笑
報 銷
寶 箱
包 廂
暴 行
報 修
保 修
包 裝
包 紮
爆 炸
報 章
報 賬
暴 漲
保 障
包 著
抱 著
抱 枕
暴 政
保 證
保 值
報 紙
包 中
保 重
爆 竹
包 住
寶 珠
保 住
抱 住
寶 釵
爆 炒
包 車
保 持
報 仇
報 酬
曝 出
報 出
爆 出
暴 晒
寶 山
報 上
報 社
保 溼
寶 石
報 收
飽 受
保 守
報 稅
保 稅
包 容
抱 在
寶 藏
暴 躁
孢 子
豹 子
包 子
暴 走
寶 座
儲 存
報 錯
保 送
報 送
抱 怨
包 月
保 研
包 養
保 養
包 夜
報 業
報 以
報 應
保 有
抱 有
保 佑
保 育
鮑 魚
寶 玉
暴 雨
報 文
保 溫
保 衛
包 圍
寶 物
寶 安
報 案
保 安
保 額
報 恩
保 爾
寶 兒
本 版
本 報
奔 奔
苯 苯
本 本
本 幣
本 病
奔 波
本 部
奔 跑
本 篇
本 片
本 品
本 名
本 法
本 方
奔 放
本 分
奔 赴
笨 蛋
笨 的
本 地
本 店
奔 騰
本 題
本 體
本 田
本 條
本 貼
本 帖
本 土
本 能
本 年
本 輪
本 來
本 領
本 該
本 國
本 刊
本 科
本 行
本 季
本 級
本 機
本 節
本 屆
本 金
本 就
本 劇
本 期
本 錢
奔 去
本 區
本 息
本 溪
本 縣
本 校
奔 向
本 想
本 性
本 站
本 章
本 著
本 職
本 質
本 週
笨 重
笨 豬
笨 拙
本 廠
本 場
賓 士
本 山
本 身
本 省
本 是
本 市
本 事
本 書
本 人
本 子
奔 走
本 組
本 作
本 村
本 草
本 次
本 色
本 所
本 源
本 院
本 月
本 頁
本 已
本 意
本 應
本 網
本 文
本 位
本 無
本 案
蚌 埠
崩 盤
迸 發
繃 帶
崩 塌
崩 潰
繃 緊
泵 站
蹦 出
背 板
揹 包
背 背
北 北
貝 貝
被 逼
卑 鄙
北 邊
被 捕
背 部
北 部
被 判
背 叛
被 騙
北 漂
倍 頻
北 平
被 迫
被 埋
北 門
北 美
北 面
背 面
悲 憫
北 伐
被 罰
北 方
輩 份
悲 憤
備 份
北 風
被 封
北 非
被 俘
揹 負
被 打
北 大
被 盜
倍 的
北 電
北 斗
被 動
背 對
被 他
被 套
被 偷
悲 痛
被 你
北 侖
悖 論
貝 勒
貝 利
背 離
悲 涼
卑 劣
揹 簍
北 路
被 關
悲 觀
背 光
倍 感
被 告
北 國
被 困
被 砍
背 靠
備 考
貝 克
備 課
貝 殼
被 扣
被 控
被 害
北 海
北 韓
北 航
備 好
被 黑
背 後
備 貨
被 毀
北 極
倍 加
備 件
北 郊
被 叫
北 街
被 禁
背 景
北 京
杯 酒
被 拒
悲 劇
背 起
北 橋
被 搶
悲 情
北 區
被 選
備 選
悲 喜
被 嚇
背 心
被 抓
被 撞
悲 壯
被 炸
北 站
備 戰
揹 著
被 指
杯 中
備 註
北 川
杯 茶
北 辰
被 殺
北 山
被 刪
北 上
背 上
悲 傷
倍 受
備 受
背 書
倍 數
杯 水
被 人
被 褥
被 砸
倍 增
輩 子
被 子
杯 子
悲 慘
北 側
盃 賽
北 宋
背 誦
北 苑
北 約
被 壓
北 洋
背 影
備 有
北 郵
備 用
北 外
備 忘
被 問
北 魏
北 緯
卑 微
被 窩
被 我
被 愛
悲 哀
北 岸
備 案
貝 爾
北 歐
臂 膀
必 備
比 比
筆 筆
弊 病
碧 波
比 拼
逼 平
逼 迫
閉 門
筆 迷
避 免
筆 名
筆 墨
閉 幕
筆 法
比 方
比 分
弊 端
逼 到
逼 得
彼 得
必 定
必 讀
比 對
比 她
比 他
位 元
鼻 涕
必 填
避 難
逼 你
比 擬
比 你
碧 綠
比 率
壁 壘
比 例
鼻 樑
祕 魯
筆 錄
閉 關
避 開
必 看
閉 口
鼻 孔
筆 劃
比 劃
筆 畫
壁 畫
閉 環
碧 海
閉 合
壁 虎
庇 護
避 諱
筆 跡
筆 記
比 價
鼻 尖
比 肩
比 較
必 將
逼 近
必 經
畢 竟
必 究
比 起
比 前
筆 錢
鼻 腔
比 丘
鼻 血
陛 下
筆 下
必 先
避 險
辟 邪
必 修
必 需
必 須
筆 賬
比 照
閉 著
逼 著
筆 者
逼 真
比 值
筆 直
桌 布
幣 種
比 重
筆 觸
必 殺
壁 上
閉 上
比 上
畢 生
必 勝
彼 時
比 試
必 是
筆 試
鄙 視
匕 首
避 暑
避 稅
比 誰
碧 水
必 然
鄙 人
逼 人
比 如
鼻 子
鼻 祖
比 作
閉 嘴
彼 此
比 薩
比 賽
閉 塞
必 死
閉 鎖
碧 雲
避 孕
閉 眼
鼻 炎
必 要
畢 業
鄙 夷
必 有
碧 玉
比 喻
逼 我
比 我
筆 誤
比 武
彼 岸
比 爾
便 把
變 白
便 被
邊 邊
便 便
辨 別
遍 佈
編 排
鞭 炮
變 頻
扁 平
邊 坡
編 碼
變 賣
變 慢
便 祕
便 民
變 法
邊 防
邊 鋒
蝙 蝠
變 大
便 當
編 導
變 的
變 得
貶 低
遍 地
變 動
邊 度
編 隊
變 態
變 通
變 暖
便 能
辯 論
變 老
變 了
遍 歷
便 利
變 臉
變 數
邊 路
邊 個
變 革
變 更
變 故
邊 框
邊 看
便 可
變 化
變 幻
變 換
變 黃
變 壞
變 好
編 號
變 黑
變 紅
辯 護
變 回
便 會
遍 及
邊 際
編 輯
邊 角
變 焦
邊 疆
便 將
辯 解
便 捷
邊 界
邊 境
編 劇
變 遷
邊 區
編 曲
辨 析
邊 線
變 現
變 小
便 向
變 相
便 攜
編 寫
變 心
變 性
變 形
編 撰
編 者
辨 證
辯 證
便 知
變 質
編 織
貶 值
編 制
變 種
變 差
變 長
便 成
編 成
程式設 計
變 成
邊 吃
邊 上
變 身
辨 識
便 是
變 數
邊 說
辨 認
編 入
編 纂
便 在
編 造
鞭 子
辮 子
鞭 策
變 色
變 速
邊 遠
邊 緣
邊 沿
變 樣
便 要
便 以
貶 義
便 已
便 衣
變 異
編 譯
便 又
便 有
便 於
變 味
變 為
表 白
標 榜
標 本
標 兵
標 牌
標 配
表 皮
表 妹
表 面
標 明
表 明
標 段
表 達
表 單
標 的
表 弟
標 點
標 定
表 態
標 題
表 頭
表 裡
表 露
標 杆
標 高
表 哥
表 格
彪 悍
標 號
表 決
標 記
標 價
表 姐
標 籤
表 情
表 現
表 象
標 準
表 彰
表 徵
標 識
標 緻
標 誌
表 中
標 註
飈 車
標 稱
標 尺
標 出
表 率
飆 升
標 示
標 識
表 示
標 書
表 述
婊 子
表 層
表 演
表 揚
標 有
標 語
別 把
別 怕
別 買
別 名
別 打
別 的
別 動
別 太
別 提
別 拿
彆 扭
別 來
別 離
別 管
別 怪
別 個
別 國
別 看
別 克
別 哭
別 急
別 家
蹩 腳
別 具
憋 屈
別 去
別 想
憋 著
別 緻
別 處
別 墅
別 說
別 讓
別 人
別 在
別 再
別 走
憋 死
別 樣
別 有
別 用
別 忘
別 問
別 無
彬 彬
繽 紛
賓 得
賓 利
瀕 臨
賓 館
賓 客
濱 海
濱 江
濱 州
殯 葬
賓 語
瀕 危
並 把
並 報
冰 雹
並 被
病 變
冰 冰
並 不
並 排
兵 馬
並 沒
病 魔
冰 法
兵 法
併 發
病 房
冰 封
並 非
病 倒
冰 島
冰 點
冰 凍
病 毒
並 對
兵 團
病 態
冰 糖
病 痛
並 能
檳 榔
冰 冷
病 歷
病 理
兵 力
病 例
並 聯
冰 涼
並 列
冰 龍
冰 棍
餅 乾
並 給
併 購
冰 塊
並 可
並 口
病 患
病 害
冰 河
冰 火
病 菌
病 假
並 肩
並 將
並 經
並 舉
摒 棄
兵 器
並 且
並 請
病 情
冰 雪
並 向
冰 箱
冰 心
並 行
冰 鎮
病 症
病 重
兵 種
並 重
冰 川
病 床
病 程
並 稱
秉 承
秉 持
病 蟲
並 處
冰 霜
冰 山
病 史
病 逝
並 使
冰 水
並 讓
病 人
併 入
並 在
病 灶
餅 子
並 作
並 存
並 從
病 死
病 原
並 已
並 以
病 因
兵 營
病 友
並 由
並 有
並 用
並 於
並 與
病 危
併 為
並 未
並 無
並 按
冰 兒
波 霸
播 報
伯 伯
波 波
剝 皮
薄 膜
伯 母
播 放
伯 父
撥 付
波 段
博 大
撥 打
博 導
波 導
博 得
搏 鬥
撥 動
波 動
剝 奪
波 濤
波 特
撥 通
撥 弄
博 覽
波 瀾
波 蘭
波 浪
伯 樂
波 里
剝 離
玻 璃
柏 林
剝 落
波 羅
菠 蘿
博 格
伯 格
撥 款
撥 開
博 克
播 客
部落 格
渤 海
撥 號
薄 荷
博 會
駁 回
伯 爵
搏 擊
波 及
鉑 金
脖 頸
勃 起
博 取
博 學
剝 削
波 形
波 折
播 種
波 長
駁 斥
撥 出
播 出
搏 殺
博 世
博 時
博 士
薄 弱
脖 子
博 彩
菠 菜
波 斯
博 雅
博 弈
播 音
波 音
博 友
波 紋
博 文
泊 位
博 愛
波 爾
不 把
不 敗
不 辦
補 辦
不 包
不 抱
不 保
不 報
不 被
不 比
不 必
不 便
不 變
步 兵
補 補
步 步
不 怕
不 胖
不 跑
不 碰
不 賠
不 配
補 品
不 平
不 破
不 賣
不 買
不 慢
佈 滿
不 滿
不 忙
部 門
不 美
不 免
不 妙
不 滅
不 明
補 發
不 法
不 發
不 乏
步 伐
不 煩
不 凡
不 放
不 妨
部 份
不 分
部 分
布 馮
不 菲
不 復
不 負
部 副
不 符
不 服
不 短
不 斷
不 答
不 打
不 大
不 戴
布 袋
不 帶
不 單
不 但
不 當
不 倒
不 到
不 得
不 等
不 低
不 敵
布 點
步 調
不 掉
不 跌
布 丁
不 定
補 丁
布 兜
不 動
不 懂
不 讀
不 多
部 隊
不 對
不 太
不 談
不 疼
不 提
不 跳
不 調
補 貼
不 聽
不 停
不 透
不 痛
不 通
不 同
不 脫
布 托
不 妥
不 退
不 拿
不 耐
不 難
不 能
不 亂
不 論
步 履
布 拉
不 拉
不 賴
不 來
布 朗
捕 撈
不 老
不 了
不 冷
佈 雷
不 累
不 離
不 力
不 理
不 利
不 練
布 料
不 料
不 了
不 亮
不 良
不 吝
不 靈
不 留
不 漏
不 露
補 錄
布 魯
不 落
部 落
不 慣
不 關
不 管
不 光
不 怪
不 乖
補 鈣
不 改
不 該
不 甘
不 幹
不 敢
不 搞
不 高
不 跟
補 給
不 給
不 夠
不 公
不 顧
不 過
不 歸
不 貴
不 快
不 卡
不 開
不 堪
不 看
不 靠
補 考
補 課
不 可
不 肯
不 扣
不 哭
不 虧
不 愧
不 花
不 還
不 換
不 慌
不 壞
不 含
不 好
不 和
不 喝
不 合
不 黑
補 貨
不 活
捕 獲
不 悔
不 回
不 會
不 絕
不 覺
不 均
部 級
布 吉
不 濟
不 羈
補 給
不 計
不 及
不 急
不 嫁
不 假
不 加
不 佳
不 減
部 件
不 見
補 繳
補 交
不 交
不 叫
不 降
不 講
不 潔
不 接
不 解
步 進
不 進
不 盡
不 禁
不 僅
不 敬
佈 景
不 經
不 救
補 救
不 就
不 久
不 懼
不 具
佈 局
不 全
不 缺
補 氣
補 齊
不 齊
不 起
不 淺
不 巧
步 槍
不 強
不 輕
不 清
不 求
不 屈
不 去
不 選
不 學
補 血
不 洗
不 喜
不 息
補 習
不 惜
部 下
不 下
不 嫌
佈 線
不 限
不 孝
不 笑
不 小
不 祥
不 相
不 詳
不 象
不 像
不 想
布 鞋
不 謝
不 懈
不 寫
不 屑
不 信
不 醒
步 行
不 幸
不 行
不 休
不 朽
不 須
不 需
不 許
不 賺
不 轉
不 裝
不 準
不 沾
布 展
不 佔
補 漲
不 長
不 漲
部 長
不 找
不 著
不 振
不 正
不 爭
不 支
不 治
不 致
不 值
不 只
佈 置
不 止
不 知
步 驟
不 忠
不 中
不 重
補 助
不 住
捕 捉
不 穿
不 差
不 常
不 暢
不 長
補 償
不 成
不 齒
不 遲
不 吃
不 愁
補 充
不 出
不 爽
不 順
不 衰
不 帥
捕 殺
不 傻
不 殺
不 善
不 傷
補 上
不 上
不 少
不 設
不 捨
不 深
補 腎
不 甚
不 慎
不 生
不 勝
捕 食
佈 施
不 識
不 實
不 失
不 時
不 適
布 什
不 是
不 守
不 收
不 受
不 輸
部 屬
不 熟
部 署
不 說
補 水
不 睡
不 然
不 讓
不 熱
不 認
不 忍
不 容
不 入
哺 乳
步 入
不 如
不 在
不 再
不 早
步 子
不 走
部 族
補 足
不 足
不 作
不 做
不 存
補 倉
不 測
不 曾
不 錯
不 算
不 散
不 似
不 思
不 死
不 送
不 俗
不 遠
不 願
不 悅
不 孕
不 雅
不 厭
不 嚴
不 言
不 要
不 也
布 藝
不 以
不 一
布 衣
不 已
不 易
不 宜
不 贏
不 應
不 由
不 用
哺 育
不 育
捕 魚
不 語
不 予
不 晚
不 完
不 玩
不 枉
不 忘
不 問
不 穩
不 畏
不 為
部 委
部 位
不 誤
不 無
不 愛
不 按
不 安
不 餓
布 林
不 二
啪 啪
怕 怕
爬 到
怕 了
怕 冷
爬 過
帕 克
趴 下
爬 行
趴 著
爬 蟲
爬 出
怕 啥
爬 山
爬 上
怕 是
趴 在
怕 死
拍 板
排 版
牌 匾
排 便
派 別
派 兵
拍 拍
拍 片
拍 賣
排 名
派 發
牌 坊
排 放
拍 打
派 到
排 到
拍 到
拍 得
拍 的
排 毒
派 對
排 隊
派 頭
拍 拖
排 尿
排 卵
派 來
排 練
排 量
排 列
排 骨
拍 過
派 克
徘 徊
排 汗
排 行
排 好
拍 好
牌 號
排 擠
排 解
排 起
排 期
排 氣
派 遣
排 球
派 系
拍 戲
拍 下
排 線
排 洩
排 序
拍 磚
排 長
牌 照
拍 照
排 著
拍 著
派 駐
排 查
排 場
排 成
拍 成
排 斥
拍 出
派 出
排 出
排 除
拍 攝
派 生
拍 手
排 水
派 人
排 入
排 在
拍 子
牌 子
派 送
派 員
排 外
拍 完
派 往
排 位
排 汙
攀 比
叛 變
判 別
攀 爬
盼 盼
碟 片
盤 面
判 罰
碟 符
判 斷
攀 登
盤 點
判 定
盼 頭
叛 徒
叛 逆
叛 亂
盤 裡
攀 鋼
盤 古
盤 口
盤 活
判 決
叛 軍
盤 錦
盤 踞
盤 旋
判 刑
盼 著
盤 整
盤 中
判 處
蹣 跚
攀 上
盤 上
攀 升
磐 石
盤 子
盤 算
攀 巖
番 禺
盼 望
盤 問
旁 白
旁 邊
胖 胖
龐 大
旁 聽
旁 觀
膀 胱
彷 徨
螃 蟹
旁 人
胖 子
泡 吧
跑 遍
炮 兵
跑 步
拋 盤
跑 跑
泡 泡
跑 馬
泡 麵
泡 沫
炮 彈
跑 道
跑 到
跑 得
拋 掉
跑 掉
跑 動
炮 臺
泡 湯
跑 題
跑 腿
泡 妞
跑 來
泡 了
跑 了
跑 路
拋 光
跑 過
跑 開
拋 開
炮 轟
炮 火
炮 灰
跑 回
跑 進
拋 棄
跑 去
拋 下
咆 哮
跑 鞋
跑 著
皰 疹
炮 製
泡 茶
跑 車
跑 出
丟 擲
跑 上
跑 商
拋 售
拋 在
泡 在
泡 澡
袍 子
泡 菜
拋 壓
跑 完
跑 位
噴 墨
盆 地
噴 嚏
噴 頭
噴 塗
盆 裡
噴 火
噴 繪
盆 景
噴 泉
噴 漆
盆 腔
噴 血
噴 出
噴 射
噴 水
盆 栽
盆 子
噴 嘴
噴 灑
噴 霧
碰 壁
蓬 勃
澎 湃
碰 碰
碰 面
鵬 飛
碰 到
烹 調
碰 頭
蓬 萊
碰 了
碰 過
朋 克
鵬 華
抨 擊
碰 見
捧 起
碰 巧
碰 撞
膨 脹
捧 著
烹 製
捧 場
碰 觸
碰 上
烹 飪
蓬 鬆
朋 友
彭 宇
陪 伴
賠 本
配 備
配 比
陪 陪
配 發
配 方
賠 付
佩 服
佩 帶
佩 戴
配 電
配 對
陪 他
陪 她
胚 胎
配 套
陪 同
陪 你
賠 率
賠 了
陪 練
配 料
培 根
配 股
賠 款
配 合
配 角
配 件
賠 錢
培 訓
陪 著
培 植
配 製
配 置
配 種
賠 償
陪 襯
配 上
配 飾
配 售
配 色
配 送
配 樂
培 養
配 以
配 音
配 有
培 育
陪 我
配 伍
配 額
配 偶
皮 包
疲 憊
批 駁
枇 杷
琵 琶
批 判
匹 配
屁 屁
皮 皮
批 評
匹 馬
皮 毛
媲 美
疲 乏
批 發
披 風
批 覆
面 板
皮 帶
皮 蛋
匹 敵
批 鬥
皮 套
皮 特
劈 腿
疲 勞
霹 靂
批 量
毗 鄰
披 露
批 改
皮 革
屁 股
皮 卡
屁 話
癖 好
批 號
疲 倦
皮 夾
披 肩
啤 酒
皮 具
脾 氣
皮 球
皮 下
皮 鞋
貔 貅
批 准
披 著
皮 疹
皮 脂
皮 質
批 註
砒 霜
披 上
屁 事
批 示
疲 軟
皮 肉
譬 如
疲 弱
痞 子
皮 草
批 次
批 薩
皮 炎
屁 眼
闢 謠
皮 衣
屁 用
批 文
脾 胃
偏 僻
便 便
翩 翩
片 片
偏 偏
偏 頗
片 面
片 名
偏 方
篇 幅
片 斷
片 段
偏 大
騙 到
偏 低
偏 袒
片 頭
騙 你
騙 了
偏 離
偏 高
騙 過
片 刻
片 花
偏 好
偏 激
偏 見
騙 局
騙 錢
騙 取
片 區
偏 小
偏 向
偏 心
篇 章
偏 執
偏 重
片 中
偏 差
片 場
片 酬
偏 出
偏 少
騙 術
騙 人
騙 子
片 子
片 源
偏 遠
偏 要
偏 移
便 宜
片 尾
騙 我
偏 愛
漂 白
漂 泊
票 票
漂 漂
飄 飄
票 面
縹 緲
飄 渺
票 房
飄 飛
飄 浮
漂 浮
飄 蕩
飄 來
漂 亮
飄 零
漂 流
飄 落
飄 過
嫖 客
飄 紅
飄 忽
嫖 妓
票 價
票 據
剽 竊
票 選
飄 香
飄 著
嫖 娼
票 數
飄 然
票 子
飄 走
飄 散
飄 雲
飄 揚
飄 搖
漂 移
飄 逸
票 務
撇 開
瞥 見
拼 搏
品 牌
頻 頻
頻 譜
貧 民
品 名
拼 命
頻 發
貧 乏
頻 繁
貧 富
頻 段
頻 道
品 德
拼 圖
頻 率
拼 了
品 類
品 格
貧 困
貧 苦
貧 寒
貧 瘠
拼 接
拼 搶
聘 請
貧 窮
貧 血
拼 寫
品 性
品 行
拼 裝
品 質
品 種
品 茶
品 嚐
拼 車
拼 殺
聘 任
貧 嘴
拼 湊
拼 死
拼 音
聘 用
聘 為
品 位
品 味
平 板
屏 保
評 比
遮 蔽
評 標
評 判
乒 乓
平 平
平 米
平 面
平 民
螢 幕
平 反
平 凡
平 房
平 方
平 分
評 分
屏 風
平 復
平 淡
平 等
平 地
評 點
平 定
評 定
平 度
平 臺
平 坦
平 躺
平 添
平 頭
評 論
瓶 蓋
平 谷
評 估
蘋 果
憑 空
平 滑
平 緩
平 和
平 衡
平 湖
平 均
評 級
平 價
評 價
評 獎
憑 藉
瓶 頸
平 靜
憑 據
平 局
評 選
評 析
平 息
平 行
瓶 裝
屏 障
憑 著
平 整
憑 證
平 常
評 出
憑 啥
評 審
平 生
平 實
平 時
平 手
評 書
評 述
評 說
平 壤
平 日
平 仄
瓶 子
平 倉
評 測
平 原
平 陽
平 遙
平 抑
平 移
評 議
評 優
平 郵
平 庸
評 語
平 穩
評 為
評 委
平 安
破 敗
婆 婆
破 門
破 滅
頗 豐
破 費
潑 婦
坡 度
頗 多
婆 娘
潑 辣
破 爛
破 了
破 例
魄 力
破 裂
頗 感
頗 高
破 格
破 壞
迫 害
破 獲
破 甲
婆 家
破 解
破 舊
頗 具
迫 切
婆 媳
破 綻
破 產
破 車
破 除
頗 深
迫 使
頗 受
破 財
破 損
婆 娑
破 碎
破 譯
頗 有
迫 於
破 網
頗 為
破 案
剖 面
剖 腹
剖 析
撲 鼻
普 遍
瀑 布
鋪 滿
鋪 面
撲 滅
普 法
浦 發
匍 匐
撲 倒
撲 到
鋪 墊
浦 東
葡 萄
菩 提
普 天
莆 田
撲 通
普 通
普 陀
鋪 路
普 羅
曝 光
鋪 開
撲 克
鋪 貨
普 及
浦 江
仆 街
普 京
撲 救
浦 西
撲 向
譜 寫
鋪 裝
普 查
撲 出
鋪 設
普 世
樸 實
朴 樹
僕 人
鋪 子
菩 薩
樸 素
濮 陽
溥 儀
普 洱
麻 痺
抹 布
馬 匹
馬 屁
麻 麻
罵 罵
媽 媽
媽 咪
麻 木
麻 煩
馬 達
麻 袋
罵 道
罵 得
馬 丁
馬 特
馬 蹄
碼 頭
馬 桶
瑪 瑙
罵 娘
位元速 率
馬 拉
麻 辣
馬 來
馬 蘭
馬 裡
麻 利
馬 力
瑪 麗
馬 琳
馬 龍
馬 路
馬 鋼
馬 凱
馬 可
馬 克
麻 花
馬 虎
馬 季
馬 甲
麻 將
罵 街
麻 雀
麻 疹
馬 場
馬 超
馬 車
馬 上
罵 聲
馬 術
罵 人
碼 字
麻 子
馬 子
麻 醉
馬 刺
馬 薩
馬 賽
馬 斯
罵 死
馬 雲
媽 呀
瑪 雅
麻 藥
麻 衣
螞 蟻
麻 油
馬 尾
罵 我
馬 兒
馬 爾
脈 搏
邁 步
賣 盤
買 盤
麥 片
賣 票
買 票
買 賣
賣 命
埋 沒
賣 房
賣 方
買 方
買 房
埋 伏
買 斷
賣 單
埋 單
買 單
賣 到
買 到
買 得
賣 得
賣 的
買 的
麥 迪
麥 蒂
賣 點
買 點
賣 掉
麥 兜
脈 動
麥 田
埋 頭
賣 弄
買 來
買 了
賣 力
買 輛
脈 絡
買 個
賣 給
賣 過
賣 國
買 過
邁 克
麥 克
買 好
買 回
賣 家
買 家
邁 進
買 進
賣 錢
賣 血
埋 下
買 下
邁 向
買 些
買 張
邁 著
買 主
賣 場
賣 車
買 車
脈 衝
邁 出
賣 出
邁 上
賣 身
買 書
邁 入
買 入
埋 在
埋 葬
麥 子
賣 座
賣 菜
買 菜
埋 藏
埋 怨
麥 芽
買 藥
賣 藝
買 一
賣 淫
賣 完
漫 步
慢 跑
漫 罵
謾 罵
滿 滿
漫 漫
慢 慢
滿 面
曼 妙
滿 目
滿 分
滿 腹
蠻 大
滿 地
慢 點
漫 談
滿 堂
滿 天
漫 天
滿 頭
饅 頭
滿 臉
曼 聯
曼 谷
蠻 快
滿 口
漫 畫
蠻 荒
滿 懷
蠻 好
蠻 橫
滿 級
滿 街
滿 腔
滿 清
滿 心
慢 性
瞞 著
滿 洲
漫 長
曼 城
滿 城
滿 山
滿 身
滿 是
滿 載
慢 走
滿 族
滿 足
滿 嘴
滿 倉
慢 速
埋 怨
滿 月
滿 眼
蔓 延
滿 意
漫 遊
鰻 魚
滿 屋
茫 茫
盲 目
忙 到
忙 得
盲 點
忙 碌
芒 果
忙 活
盲 區
忙 著
茫 然
盲 人
盲 從
忙 於
毛 筆
毛 病
冒 牌
冒 泡
